  Epoch 1/100 | Batch 2100/2306 | Loss: 1.4689 | Acc: 0.4056
  Epoch 1/100 | Batch 2110/2306 | Loss: 1.4744 | Acc: 0.4012
  Epoch 1/100 | Batch 2120/2306 | Loss: 1.4649 | Acc: 0.4035
  Epoch 1/100 | Batch 2130/2306 | Loss: 1.4681 | Acc: 0.4026
  Epoch 1/100 | Batch 2140/2306 | Loss: 1.4605 | Acc: 0.4070
  Epoch 1/100 | Batch 2150/2306 | Loss: 1.4715 | Acc: 0.4008
  Epoch 1/100 | Batch 2160/2306 | Loss: 1.4878 | Acc: 0.3957
  Epoch 1/100 | Batch 2170/2306 | Loss: 1.4594 | Acc: 0.4058
  Epoch 1/100 | Batch 2180/2306 | Loss: 1.4594 | Acc: 0.4079
  Epoch 1/100 | Batch 2190/2306 | Loss: 1.4647 | Acc: 0.4032
  Epoch 1/100 | Batch 2200/2306 | Loss: 1.4675 | Acc: 0.4041
  Epoch 1/100 | Batch 2210/2306 | Loss: 1.4704 | Acc: 0.3972
  Epoch 1/100 | Batch 2220/2306 | Loss: 1.4754 | Acc: 0.3997
  Epoch 1/100 | Batch 2230/2306 | Loss: 1.4658 | Acc: 0.3990
  Epoch 1/100 | Batch 2240/2306 | Loss: 1.4639 | Acc: 0.4046
  Epoch 1/100 | Batch 2250/2306 | Loss: 1.4613 | Acc: 0.4045
  Epoch 1/100 | Batch 2260/2306 | Loss: 1.4659 | Acc: 0.4039
  Epoch 1/100 | Batch 2270/2306 | Loss: 1.4630 | Acc: 0.4061
  Epoch 1/100 | Batch 2280/2306 | Loss: 1.4660 | Acc: 0.4029
  Epoch 1/100 | Batch 2290/2306 | Loss: 1.4603 | Acc: 0.4039
  Epoch 1/100 | Batch 2300/2306 | Loss: 1.4619 | Acc: 0.4032

📊 Epoch 1/100
   訓練損失: 1.5879 | 準確率: 0.3738
   驗證損失: 1.4661 | 準確率: 0.4024
   學習率: 1.00e-03
   ✅ 保存最佳模型: /workspace/Mahjong/checkpoints/bc_model/best_bc_model.pt
  Epoch 2/100 | Batch 1/2306 | Loss: 1.4527 | Acc: 0.4116
  Epoch 2/100 | Batch 10/2306 | Loss: 1.4695 | Acc: 0.4002
  Epoch 2/100 | Batch 20/2306 | Loss: 1.4542 | Acc: 0.4029
  Epoch 2/100 | Batch 30/2306 | Loss: 1.4621 | Acc: 0.4030
  Epoch 2/100 | Batch 40/2306 | Loss: 1.4659 | Acc: 0.4009
  Epoch 2/100 | Batch 50/2306 | Loss: 1.4592 | Acc: 0.4056
  Epoch 2/100 | Batch 60/2306 | Loss: 1.4481 | Acc: 0.4094
  Epoch 2/100 | Batch 70/2306 | Loss: 1.4512 | Acc: 0.4089
  Epoch 2/100 | Batch 80/2306 | Loss: 1.4606 | Acc: 0.4024
  Epoch 2/100 | Batch 90/2306 | Loss: 1.4560 | Acc: 0.4078
  Epoch 2/100 | Batch 100/2306 | Loss: 1.4671 | Acc: 0.4013
  Epoch 2/100 | Batch 110/2306 | Loss: 1.4670 | Acc: 0.4010
  Epoch 2/100 | Batch 120/2306 | Loss: 1.4561 | Acc: 0.4086
  Epoch 2/100 | Batch 130/2306 | Loss: 1.4588 | Acc: 0.4063
  Epoch 2/100 | Batch 140/2306 | Loss: 1.4528 | Acc: 0.4098
  Epoch 2/100 | Batch 150/2306 | Loss: 1.4694 | Acc: 0.4002
  Epoch 2/100 | Batch 160/2306 | Loss: 1.4607 | Acc: 0.4029
  Epoch 2/100 | Batch 170/2306 | Loss: 1.4548 | Acc: 0.4078
  Epoch 2/100 | Batch 180/2306 | Loss: 1.4756 | Acc: 0.3957
  Epoch 2/100 | Batch 190/2306 | Loss: 1.4587 | Acc: 0.4020
  Epoch 2/100 | Batch 200/2306 | Loss: 1.4596 | Acc: 0.4036
  Epoch 2/100 | Batch 210/2306 | Loss: 1.4565 | Acc: 0.4079
  Epoch 2/100 | Batch 220/2306 | Loss: 1.4581 | Acc: 0.4052
  Epoch 2/100 | Batch 230/2306 | Loss: 1.4578 | Acc: 0.4054
  Epoch 2/100 | Batch 240/2306 | Loss: 1.4521 | Acc: 0.4070
  Epoch 2/100 | Batch 250/2306 | Loss: 1.4629 | Acc: 0.4028
  Epoch 2/100 | Batch 260/2306 | Loss: 1.4638 | Acc: 0.4032
  Epoch 2/100 | Batch 270/2306 | Loss: 1.4691 | Acc: 0.4028
  Epoch 2/100 | Batch 280/2306 | Loss: 1.4493 | Acc: 0.4097
  Epoch 2/100 | Batch 290/2306 | Loss: 1.4637 | Acc: 0.4022
  Epoch 2/100 | Batch 300/2306 | Loss: 1.4550 | Acc: 0.4066
  Epoch 2/100 | Batch 310/2306 | Loss: 1.4522 | Acc: 0.4082
  Epoch 2/100 | Batch 320/2306 | Loss: 1.4499 | Acc: 0.4073
  Epoch 2/100 | Batch 330/2306 | Loss: 1.4500 | Acc: 0.4092
  Epoch 2/100 | Batch 340/2306 | Loss: 1.4594 | Acc: 0.4034
  Epoch 2/100 | Batch 350/2306 | Loss: 1.4572 | Acc: 0.4051
  Epoch 2/100 | Batch 360/2306 | Loss: 1.4475 | Acc: 0.4078
  Epoch 2/100 | Batch 370/2306 | Loss: 1.4671 | Acc: 0.3994
  Epoch 2/100 | Batch 380/2306 | Loss: 1.4545 | Acc: 0.4046
  Epoch 2/100 | Batch 390/2306 | Loss: 1.4416 | Acc: 0.4104
  Epoch 2/100 | Batch 400/2306 | Loss: 1.4549 | Acc: 0.4039
  Epoch 2/100 | Batch 410/2306 | Loss: 1.4661 | Acc: 0.4019
  Epoch 2/100 | Batch 420/2306 | Loss: 1.4588 | Acc: 0.4010
  Epoch 2/100 | Batch 430/2306 | Loss: 1.4595 | Acc: 0.4064
  Epoch 2/100 | Batch 440/2306 | Loss: 1.4554 | Acc: 0.4040
  Epoch 2/100 | Batch 450/2306 | Loss: 1.4425 | Acc: 0.4110
  Epoch 2/100 | Batch 460/2306 | Loss: 1.4490 | Acc: 0.4071
  Epoch 2/100 | Batch 470/2306 | Loss: 1.4526 | Acc: 0.4079
  Epoch 2/100 | Batch 480/2306 | Loss: 1.4600 | Acc: 0.4022
  Epoch 2/100 | Batch 490/2306 | Loss: 1.4494 | Acc: 0.4102
  Epoch 2/100 | Batch 500/2306 | Loss: 1.4446 | Acc: 0.4094
  Epoch 2/100 | Batch 510/2306 | Loss: 1.4508 | Acc: 0.4068
  Epoch 2/100 | Batch 520/2306 | Loss: 1.4540 | Acc: 0.4036
  Epoch 2/100 | Batch 530/2306 | Loss: 1.4630 | Acc: 0.4004
  Epoch 2/100 | Batch 540/2306 | Loss: 1.4511 | Acc: 0.4085
  Epoch 2/100 | Batch 550/2306 | Loss: 1.4619 | Acc: 0.4005
  Epoch 2/100 | Batch 560/2306 | Loss: 1.4626 | Acc: 0.4024
  Epoch 2/100 | Batch 570/2306 | Loss: 1.4524 | Acc: 0.4074
  Epoch 2/100 | Batch 580/2306 | Loss: 1.4538 | Acc: 0.4053
